ID	CRISPR-Cas
ab04298	I-Fb
ab04318	I-Fb
ab04814	I-Fb
ab04817	I-Fb
ab04868	I-Fb
ab04877	I-Fb
ab04879	I-Fb
ab04884	I-Fb
ab04885	I-Fb
ab04886	I-Fb
ab04887	I-Fb
ab04888	I-Fb
ab04889	I-Fb
ab04890	I-Fb
ab04894	I-Fb
ab04895	I-Fb
ab04896	I-Fb
ab04897	I-Fb
ab04898	I-Fb
ab04899	I-Fb
ab04921	I-Fb
ab04922	I-Fb
ab04923	I-Fb
ab04976	I-Fb
ab05000	I-Fb
ab05023	I-Fb
ab05028	I-Fb
ab05035	I-Fb
ab05056	I-Fb
ab05073	I-Fb
ab05074	I-Fb
ab05075	I-Fb
ab05076	I-Fb
ab05077	I-Fb
ab05079	I-Fb
ab05083	I-Fb
ab05084	I-Fb
ab05085	I-Fb
ab05086	I-Fb
ab05087	I-Fb
ab05088	I-Fb
ab05089	I-Fb
ab05090	I-Fb
ab05091	I-Fb
ab05092	I-Fb
ab05093	I-Fb
ab05094	I-Fb
ab05095	I-Fb
ab05096	I-Fb
ab05097	I-Fb
ab05098	I-Fb
ab05099	I-Fb
ab05100	I-Fb
ab05101	I-Fb
ab05102	I-Fb
ab05105	I-Fb
ab05132	I-Fb
ab05133	I-Fb
ab05142	I-Fb
ab05143	I-Fb
ab05147	I-Fb
ab05148	I-Fb
ab05149	I-Fb
ab05155	I-Fb
ab05156	I-Fb
ab05163	I-Fb
ab05164	I-Fb
ab05165	I-Fb
ab05192	I-Fb
ab05412	I-Fb
ab05538	I-Fb
ab05594	I-Fb
ab05603	I-Fb
ab05604	I-Fb
ab05626	I-Fb
ab05627	I-Fb
ab05742	I-Fb
ab05744	I-Fb
ab05752	I-Fb
ab05756	I-Fb
ab05797	I-Fb
ab05800	I-Fb
ab05814	I-Fb
ab05870	I-Fb
ab05871	I-Fb
ab05895	I-Fb
ab05897	I-Fb
ab05903	I-Fb
ab06002	I-Fb
ab06008	I-Fb
ab06065	I-Fb
ab06095	I-Fb
ab06099	I-Fb
ab06101	I-Fb
ab06105	I-Fb
ab06110	I-Fb
ab06116	I-Fb
ab06119	I-Fb
ab06122	I-Fb
ab06143	I-Fb
ab06144	I-Fb
ab06158	I-Fb
ab06159	I-Fb
ab06162	I-Fb
ab06163	I-Fb
ab06165	I-Fb
ab06166	I-Fb
ab06167	I-Fb
ab06175	I-Fb
ab06176	I-Fb
ab06178	I-Fb
ab06180	I-Fb
ab06188	I-Fb
ab06254	I-Fb
ab06258	I-Fb
ab06272	I-Fb
ab06274	I-Fb
ab06275	I-Fb
ab06312	I-Fb
ab06313	I-Fb
ab06314	I-Fb
ab06319	I-Fb
ab06320	I-Fb
ab06322	I-Fb
ab06323	I-Fb
ab06368	I-Fb
ab06371	I-Fb
ab06381	I-Fb
ab06386	I-Fb
ab06391	I-Fb
ab06410	I-Fb
ab06416	I-Fb
ab06418	I-Fb
ab06460	I-Fb
ab06515	I-Fb
ab06521	I-Fb
ab06525	I-Fb
ab06529	I-Fb
ab06530	I-Fb
ab06531	I-Fb
ab06532	I-Fb
ab06533	I-Fb
ab06534	I-Fb
ab06535	I-Fb
ab06537	I-Fb
ab06538	I-Fb
ab06539	I-Fb
ab06540	I-Fb
ab06541	I-Fb
ab06542	I-Fb
ab06543	I-Fb
ab06544	I-Fb
ab06545	I-Fb
ab06546	I-Fb
ab06547	I-Fb
ab06548	I-Fb
ab06549	I-Fb
ab06550	I-Fb
ab06551	I-Fb
ab06553	I-Fb
ab06554	I-Fb
ab06555	I-Fb
ab06556	I-Fb
ab06557	I-Fb
ab06558	I-Fb
ab06559	I-Fb
ab06560	I-Fb
ab06561	I-Fb
ab06562	I-Fb
ab06564	I-Fb
ab06565	I-Fb
ab06566	I-Fb
ab06567	I-Fb
ab06570	I-Fb
ab06571	I-Fb
ab06572	I-Fb
ab06573	I-Fb
ab06574	I-Fb
ab06575	I-Fb
ab06576	I-Fb
ab06578	I-Fb
ab06579	I-Fb
ab06581	I-Fb
ab06582	I-Fb
ab06583	I-Fb
ab06584	I-Fb
ab06586	I-Fb
ab06589	I-Fb
