ab_sp_583	ifa1
ab_sp_584	ifb
ab_sp_585	ifa2
ab_sp_586	ifb
ab_sp_587	ifa2
ab_sp_588	ifb
ab_sp_589	ifa2
ab_sp_590	ifa1
ab_sp_591	ifb
ab_sp_592	ifa2
ab_sp_593	ifa1
ab_sp_594	ifb
ab_sp_595	ifa1
ab_sp_596	ifa1
ab_sp_597	ifb
ab_sp_598	ifb
ab_sp_599	ifa1
ab_sp_599	ifa2
ab_sp_600	ifb
ab_sp_601	ifb
ab_sp_602	ifb
ab_sp_603	ifb
ab_sp_604	ifb
ab_sp_605	ifb
ab_sp_606	ifa1
ab_sp_607	ifb
ab_sp_608	ifa1
ab_sp_609	ifa1
ab_sp_610	ifb
ab_sp_611	ifb
ab_sp_612	ifa1
ab_sp_613	ifb
ab_sp_614	ifb
ab_sp_615	ifb
ab_sp_616	ifb
ab_sp_617	ifa2
ab_sp_618	ifb
ab_sp_619	ifa1
ab_sp_620	ifa1
ab_sp_620	ifb
ab_sp_621	ifa1
ab_sp_622	ifa1
ab_sp_623	ifa1
ab_sp_624	ifb
ab_sp_625	ifa1
ab_sp_626	ifa1
ab_sp_627	ifb
ab_sp_628	ifb
ab_sp_629	ifa2
ab_sp_630	ifa1
ab_sp_631	ifa1
ab_sp_632	ifa1
ab_sp_633	ifa1
ab_sp_634	ifb
ab_sp_635	ifa1
ab_sp_636	ifa1
ab_sp_637	ifa2
ab_sp_638	ifa1
ab_sp_639	ifa1
ab_sp_640	ifa1
ab_sp_641	ifb
ab_sp_642	ifb
ab_sp_643	ifa1
ab_sp_644	ifa2
ab_sp_645	ifa1
ab_sp_646	ifa1
ab_sp_647	ifa1
ab_sp_648	ifb
ab_sp_649	ifa1
ab_sp_650	ifa1
ab_sp_651	ifa2
ab_sp_652	ifa1
ab_sp_653	ifa1
ab_sp_654	ifa1
ab_sp_655	ifb
ab_sp_656	ifa1
ab_sp_657	ifb
ab_sp_658	ifa1
ab_sp_659	ifa2
ab_sp_660	ifb
ab_sp_661	ifa1
ab_sp_662	ifb
ab_sp_663	ifa1
ab_sp_664	ifa2
ab_sp_665	ifa1
ab_sp_666	ifa2
ab_sp_667	ifa2
ab_sp_668	ifb
ab_sp_669	ifb
ab_sp_670	ifa1
ab_sp_671	ifb
