Array	N	Frequency
ifb	unique	14
ifb	unique	17
ifb	unique	75
ifb	unique	53
ifb	unique	29
ifb	unique	23
ifb	unique	53
ifb	unique	39
ifb	unique	56
ifb	unique	50
ifb	unique	53
ifb	unique	45
ifb	unique	45
ifb	unique	45
ifb	unique	45
ifb	unique	53
ifb	unique	53
ifb	unique	60
ifb	unique	60
ifb	unique	48
ifb	unique	53
ifb	unique	48
ifb	unique	88
ifb	unique	88
ifb	unique	97
ifb	unique	77
ifb	unique	97
ifb	unique	53
ifb	unique	52
ifb	unique	51
ifb	unique	38
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	56
ifb	unique	128
ifb	unique	98
ifb	unique	101
ifb	unique	56
ifb	unique	19
ifb	unique	33
ifb	unique	104
ifb	unique	89
ifb	unique	29
ifb	unique	51
ifb	unique	56
ifb	unique	46
ifb	unique	48
ifb	unique	46
ifb	unique	47
ifb	unique	47
ifb	unique	36
ifb	unique	48
ifb	unique	46
ifb	unique	46
ifb	unique	47
ifb	unique	47
ifb	unique	47
ifb	unique	47
ifb	unique	47
ifb	unique	48
ifb	unique	48
ifb	unique	47
ifb	unique	47
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	47
ifb	unique	48
ifb	unique	43
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	47
ifb	unique	47
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	48
ifb	unique	11
ifb	unique	37
ifb	unique	48
ifb	unique	8
ifb	unique	5
ifb	unique	9
ifb	unique	15
ifb	unique	56
ifb	unique	52
ifb	unique	52
ifb	unique	90
ifb	unique	12
ifb	unique	53
ifb	unique	129
ifb	unique	80
ifb	unique	52
ifb	unique	103
ifb	unique	121
ifb	unique	52
ifb	unique	50
ifb	unique	45
ifb	unique	49
ifb	unique	9
ifb	unique	21
ifb	unique	52
ifb	unique	53
ifb	unique	89
ifb	unique	30
ifb	unique	13
ifb	unique	51
ifb	unique	44
ifb	unique	97
ifb	unique	97
ifb	unique	97
ifb	unique	76
ifb	unique	29
ifb	unique	52
ifb	unique	53
ifb	unique	33
ifb	unique	20
ifb	unique	52
ifb	unique	53
ifb	unique	12
ifb	unique	44
ifb	unique	56
ifb	unique	49
ifb	unique	55
ifb	unique	52
ifb	unique	83
ifb	unique	54
ifb	unique	65
ifb	unique	29
ifb	unique	39
ifb	unique	76
ifb	unique	55
ifb	unique	33
ifb	unique	27
ifb	unique	55
ifb	unique	118
ifb	unique	24
ifb	unique	67
ifb	unique	110
ifb	unique	52
ifb	unique	53
ifb	unique	49
ifb	unique	87
ifb	unique	48
ifb	unique	66
ifb	unique	62
ifb	unique	80
ifb	unique	112
ifb	unique	52
ifb	unique	44
ifb	unique	99
ifb	unique	79
ifb	unique	106
ifb	unique	74
ifb	unique	79
ifb	unique	79
ifb	unique	76
ifb	unique	76
ifb	unique	79
ifb	unique	79
ifb	unique	79
ifb	unique	79
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	8
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	7
ifb	unique	132
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	49
ifb	unique	42
ifb	unique	58
ifb	unique	74
ifb	unique	52
ifb	unique	76
ifb	unique	71
ifb	unique	48
ifb	unique	30
ifb	unique	17
ifb	unique	48
ifb	unique	48
ifb	unique	61
ifb	unique	105
ifb	unique	105
ifb	unique	8
ifb	unique	13
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	53
ifb	unique	56
ifb	unique	53
ifb	unique	48
ifb	unique	103
ifb	unique	54
ifb	unique	61
ifb	unique	37
ifb	unique	65
ifb	unique	17
ifb	unique	6
ifb	unique	12
ifb	unique	8
ifb	unique	52
ifb	unique	52
ifb	unique	49
ifb	unique	52
ifb	unique	85
ifb	unique	48
ifb	unique	52
ifb	unique	20
ifb	unique	43
ifb	unique	6
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	101
ifb	unique	46
